keyword,published_after,published_before,total_results,returned_results
fitspo|fitspiration,2013-01-01T00:00:00Z,2013-06-30T23:59:59Z,2322,46
bodypositive|bodypositivity,2013-01-01T00:00:00Z,2013-06-30T23:59:59Z,9172,0
fitspo|fitspiration,2013-07-01T00:00:00Z,2013-12-31T23:59:59Z,1995,50
bodypositive|bodypositivity,2013-07-01T00:00:00Z,2013-12-31T23:59:59Z,8593,1
fitspo|fitspiration,2014-01-01T00:00:00Z,2014-06-30T23:59:59Z,4183,46
bodypositive|bodypositivity,2014-01-01T00:00:00Z,2014-06-30T23:59:59Z,10054,4
fitspo|fitspiration,2014-07-01T00:00:00Z,2014-12-31T23:59:59Z,3334,46
bodypositive|bodypositivity,2014-07-01T00:00:00Z,2014-12-31T23:59:59Z,10358,6
fitspo|fitspiration,2015-01-01T00:00:00Z,2015-06-30T23:59:59Z,6152,50
bodypositive|bodypositivity,2015-01-01T00:00:00Z,2015-06-30T23:59:59Z,12135,12
fitspo|fitspiration,2015-07-01T00:00:00Z,2015-12-31T23:59:59Z,8328,50
bodypositive|bodypositivity,2015-07-01T00:00:00Z,2015-12-31T23:59:59Z,23898,20
fitspo|fitspiration,2016-01-01T00:00:00Z,2016-06-30T23:59:59Z,8830,50
bodypositive|bodypositivity,2016-01-01T00:00:00Z,2016-06-30T23:59:59Z,34195,13
fitspo|fitspiration,2016-07-01T00:00:00Z,2016-12-31T23:59:59Z,11937,50
bodypositive|bodypositivity,2016-07-01T00:00:00Z,2016-12-31T23:59:59Z,101760,35
fitspo|fitspiration,2017-01-01T00:00:00Z,2017-06-30T23:59:59Z,10873,50
bodypositive|bodypositivity,2017-01-01T00:00:00Z,2017-06-30T23:59:59Z,159216,50
fitspo|fitspiration,2017-07-01T00:00:00Z,2017-12-31T23:59:59Z,11980,50
bodypositive|bodypositivity,2017-07-01T00:00:00Z,2017-12-31T23:59:59Z,226494,40
fitspo|fitspiration,2018-01-01T00:00:00Z,2018-06-30T23:59:59Z,33742,50
bodypositive|bodypositivity,2018-01-01T00:00:00Z,2018-06-30T23:59:59Z,317642,45
fitspo|fitspiration,2018-07-01T00:00:00Z,2018-12-31T23:59:59Z,23780,50
bodypositive|bodypositivity,2018-07-01T00:00:00Z,2018-12-31T23:59:59Z,295860,50
fitspo|fitspiration,2019-01-01T00:00:00Z,2019-06-30T23:59:59Z,30888,50
bodypositive|bodypositivity,2019-01-01T00:00:00Z,2019-06-30T23:59:59Z,355911,50
fitspo|fitspiration,2019-07-01T00:00:00Z,2019-12-31T23:59:59Z,21482,50
bodypositive|bodypositivity,2019-07-01T00:00:00Z,2019-12-31T23:59:59Z,555153,50
fitspo|fitspiration,2020-01-01T00:00:00Z,2020-06-30T23:59:59Z,17490,50
bodypositive|bodypositivity,2020-01-01T00:00:00Z,2020-06-30T23:59:59Z,494154,50
fitspo|fitspiration,2020-07-01T00:00:00Z,2020-12-31T23:59:59Z,30932,50
bodypositive|bodypositivity,2020-07-01T00:00:00Z,2020-12-31T23:59:59Z,684008,50
fitspo|fitspiration,2021-01-01T00:00:00Z,2021-06-30T23:59:59Z,30290,50
bodypositive|bodypositivity,2021-01-01T00:00:00Z,2021-06-30T23:59:59Z,832799,50
fitspo|fitspiration,2021-07-01T00:00:00Z,2021-12-31T23:59:59Z,51998,50
bodypositive|bodypositivity,2021-07-01T00:00:00Z,2021-12-31T23:59:59Z,1000000,50
fitspo|fitspiration,2022-01-01T00:00:00Z,2022-06-30T23:59:59Z,71447,50
bodypositive|bodypositivity,2022-01-01T00:00:00Z,2022-06-30T23:59:59Z,1000000,50
fitspo|fitspiration,2022-07-01T00:00:00Z,2022-12-31T23:59:59Z,57730,50
bodypositive|bodypositivity,2022-07-01T00:00:00Z,2022-12-31T23:59:59Z,572617,50
fitspo|fitspiration,2023-01-01T00:00:00Z,2023-06-30T23:59:59Z,82974,50
bodypositive|bodypositivity,2023-01-01T00:00:00Z,2023-06-30T23:59:59Z,509872,50
fitspo|fitspiration,2023-07-01T00:00:00Z,2023-12-31T23:59:59Z,42290,7
bodypositive|bodypositivity,2023-07-01T00:00:00Z,2023-12-31T23:59:59Z,168463,26
